物件タイトル,駅からの徒歩,住所,総階数,築年数,建物構造,駐車場あり,間取り,専有面積[㎡],賃料[万円],管理費等,敷金,礼金,特徴,検討中人数
パークサイドＡＮＩＹＡ 築14年5ヶ月の賃貸物件,沖縄都市モノレール/市立病院前駅 徒歩6分沖縄都市モノレール/古島駅 徒歩14分沖縄都市モノレール/儀保駅 徒歩15分,沖縄県那覇市首里末吉町２丁目,2階建,14.5,軽量鉄骨造,駐車場あり,2DK,40.98,7.5,4000,不要,75000.0,バス・トイレ別フローリング角部屋,52
安里駅より徒歩6分 6階 築3年11ヶ月の賃貸物件,沖縄都市モノレール/安里駅 徒歩6分沖縄都市モノレール/おもろまち駅 徒歩7分沖縄都市モノレール/牧志駅 徒歩10分,沖縄県那覇市字安里,9階建,3.11,鉄筋コン,駐車場あり,1R,212.41,76.8,20000,1536000,4608000,フローリングオートロック,58
2階 築8年3ヶ月の賃貸物件,,沖縄県那覇市壺屋１丁目,2階建,8.3,ＲＣ,-,2LDK,60.53,10,-,100000,100000,バス・トイレ別新着コンロ2口以上,0
おもろまち駅より徒歩23分 築10年10ヶ月の賃貸物件,沖縄都市モノレール/おもろまち駅 徒歩23分,沖縄県那覇市天久２丁目,2階建,10.10,軽量鉄骨造,駐車場あり,2LDK,115.8,25,-,500000.0,不要,バス・トイレ別ペット相談新着,27
おもろまち駅より徒歩9分 1階 築13年3ヶ月の賃貸物件,沖縄都市モノレール/おもろまち駅 徒歩9分沖縄都市モノレール/古島駅 徒歩13分沖縄都市モノレール/市立病院前駅 徒歩17分,沖縄県那覇市真嘉比２,2階建,13.3,軽量鉄骨,駐車場あり,3LDK,88.87,14.8,6000,不要,222000,バス・トイレ別フローリング南向き,15
おもろまち駅より徒歩7分 1階 築13年3ヶ月の賃貸物件,沖縄都市モノレール/おもろまち駅 徒歩7分,沖縄県那覇市真嘉比２,2階建,13.3,軽量鉄骨,駐車場あり,3LDK,88.87,14.4,6000,不要,144000,フローリング南向き浴室乾燥機,5
美栄橋駅より徒歩14分 築16年8ヶ月の賃貸物件,沖縄都市モノレール/美栄橋駅 徒歩14分,沖縄県那覇市上之屋１丁目,2階建,16.8,ＲＣ,駐車場あり,2LDK,99.46,19,不要,380000.0,190000.0,バス・トイレ別ペット相談フローリング,9
旭橋駅より徒歩8分 2階 築34年11ヶ月の賃貸物件,沖縄都市モノレール/旭橋駅 徒歩8分沖縄都市モノレール/県庁前駅 徒歩13分沖縄都市モノレール/壺川駅 徒歩18分,沖縄県那覇市久米１,5階建,34.11,鉄筋コン,駐車場あり,1R,102.5,22,2200,220000,220000,,1
赤嶺駅より徒歩14分 2階 築38年6ヶ月の賃貸物件,沖縄都市モノレール/赤嶺駅 徒歩14分,沖縄県那覇市宮城１,2階建,38.6,鉄筋コン,駐車場あり,2DK,41.85,9,不要,不要,不要,バス・トイレ別フローリング,11
安里駅より徒歩17分 1階 築44年5ヶ月の賃貸物件,沖縄都市モノレール/安里駅 徒歩17分,沖縄県那覇市繁多川１,2階建,44.5,鉄筋コン,-,1LDK,53.46,7,不要,70000,70000,ペット相談コンロ2口以上,24
築54年7ヶ月の賃貸物件,,沖縄県那覇市字小禄,1階建,54.7,他,駐車場あり,3LDK,79.23,10,不要,100000.0,100000.0,ペット相談,13
儀保駅より徒歩10分 築55年5ヶ月の賃貸物件,沖縄都市モノレール/儀保駅 徒歩10分,沖縄県那覇市首里大名町２丁目,1階建,55.5,他,駐車場あり,3LDK,61.9,13,不要,130000.0,130000.0,バス・トイレ別ペット相談,46
安里駅より徒歩32分 築56年1ヶ月の賃貸物件,沖縄都市モノレール/安里駅 徒歩32分沖縄都市モノレール/牧志駅 徒歩36分,沖縄県那覇市上間１丁目,2階建,56.1,ＲＣ,駐車場あり,2DK,46.61,6.5,不要,65000.0,65000.0,ペット相談フローリングコンロ2口以上,62
